smiles,Clostridium sporogenes ATCC15579
COc1cc(NC(C)CCC[NH3+])c2ncccc2c1,0
CNNCc1ccc(C(=O)NC(C)C)cc1,0
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,0
CCc1[nH+]c(N)nc(N)c1-c1ccc(Cl)cc1,0
OCCOCCN1CCN(C2=[NH+]c3ccccc3Sc3ccccc32)CC1,0
CC[NH+](CC)CCCC(C)Nc1c2ccc(Cl)cc2[nH+]c2ccc(OC)cc12,0
CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1Cc2ccccc2CC1C(=O)[O-],0
C=CC1C[NH+]2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,0
CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1,1
CCC(=O)NCCC1CCc2ccc3c(c21)CCO3,0
CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C(C(=O)[O-])CC2CCCC21,0
CNC(=C[N+](=O)[O-])NCCSCc1ccc(C[NH+](C)C)o1,0
COc1ccccc1OCC(O)C[NH+]1CCN(CC(=O)Nc2c(C)cccc2C)CC1,0
O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)[O-])c1ccc(Cl)cc1,0
CCOc1cc(CC(=O)NC(CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)[O-],0
COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CC[NH+]3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,0
Nc1nc2ccc(OC(F)(F)F)cc2s1,0
CC([NH3+])C12CC3CC(CC(C3)C1)C2,0
Cc1nc2n(c(=O)c1CC[NH+]1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,1
CC(C)c1nc(CN(C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,0
CCN(C)C(=O)Oc1cccc(C(C)[NH+](C)C)c1,0
C[NH+](C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,0
CCC[NH+](CCC)CCc1cccc2c1CC(=O)N2,0
CN(CCOc1ccc(CC2SC(=O)[N-]C2=O)cc1)c1ccccn1,0
CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1C=CC(O)CC(O)CC(=O)[O-],0
CC(=O)OCC(=O)NCCCOc1cccc(C[NH+]2CCCCC2)c1,0
C[NH2+]C1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21,0
CCCc1nn(C)c2c(=O)[n-]c(-c3cc(S(=O)(=O)N4CC[NH+](C)CC4)ccc3OCC)nc12,0
O=C(OC1C[NH+]2CCC1CC2)C1NCc2ccccc2C1c1ccccc1,0
CC(C)[NH2+]CC(O)c1ccc(NS(C)(=O)=O)cc1,0
O=C(CCC[NH+]1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,0
O=C([O-])c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,1
O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,0
CC1=C(CC(=O)[O-])c2cc(F)ccc2C1=Cc1ccc(S(C)=O)cc1,0
CC[NH+]1CCC(CNC(=O)c2cc(S(N)(=O)=O)ccc2OC)C1,0
CNS(=O)(=O)Cc1ccc2[nH]cc(CC[NH+](C)C)c2c1,0
Nc1c2c([nH+]c3ccccc13)CCCC2,0
C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C(O)CC1=O)C(C)CC2OC,1
CN1CC(=O)N2C(Cc3c([nH]c4ccccc34)C2c2ccc3c(c2)OCO3)C1=O,0
CCOc1ccccc1OCC[NH2+]C(C)Cc1ccc(OC)c(S(N)(=O)=O)c1,0
CCCCCNC(=[NH2+])NN=Cc1c[nH]c2ccc(OC)cc12,0
CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)[O-])cc1,0
COc1ccc2[n-]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2n1,1
CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O,0
COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,0
CN(CC=CC#CC(C)(C)C)Cc1cccc2ccccc12,0
c1ccc2[nH]c(-c3cscn3)nc2c1,0
CN(C)S(=O)(=O)c1ccc2c(c1)C(=CCCN1CC[NH+](C)CC1)c1ccccc1S2,0
CC[NH+](CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC,0
CC(C)(C)[NH2+]CC(O)COc1nsnc1N1CCOCC1,0
CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,1
Cc1ccc(S(=O)(=O)[N-]C(=O)NN2CCCCCC2)cc1,0
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(C[NH+](C)C)c(O)ccc3nc2-1,0
CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C(C(=O)[O-])CC2CCCCC21,0
COc1ccc(C=CC(=O)Nc2ccccc2C(=O)[O-])cc1OC,0
O=c1n(CCC[NH+]2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,0
OC(CC[NH+]1CCCCC1)(c1ccccc1)C1CCCCC1,0
CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(c1ccccc1)N(C)C,0
COc1ccc(CN2CC[NH2+]CC2)c(OC)c1OC,0
COc1cc(C(=O)NCc2ccc(OCC[NH+](C)C)cc2)cc(OC)c1OC,0
CC(CN1c2ccccc2CCc2ccccc21)C[NH+](C)C,0
Cc1ccc(C(=CC[NH+]2CCCC2)c2ccccn2)cc1,0
C[NH+]1C2CCC1CC(OC(=O)c1c[nH]c3ccccc13)C2,0
O=C(OC1CC2CCC(C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1,0
CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[n-]n2)cc1)C(C(=O)[O-])C(C)C,0
COc1ccc(C(C[NH+](C)C)C2(O)CCCCC2)cc1,0
COc1ccc(CC[NH+](C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,0
N#Cc1ccc2[nH]cc(CCCC[NH+]3CCN(c4ccc5oc(C(N)=O)cc5c4)CC3)c2c1,1
CCOC(=O)C1=CC2(CC)CCC[NH+]3CCc4c(n1c1ccccc41)C32,0
CC(c1ncncc1F)C(O)(Cn1cncn1)c1ccc(F)cc1F,0
CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O,0
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,0
Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O,0
O=C1Cc2cc(CC[NH+]3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,0
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,0
